projector_index,l,q_bohr_inv,F_l_q_bohr_3halves
4,2,1.189473684211e+00,3.444184806521e-02
4,2,1.552631578947e+00,1.078725072091e-01
4,2,1.915789473684e+00,2.449351840227e-01
4,2,2.278947368421e+00,4.574933809146e-01
4,2,2.642105263158e+00,7.442023591408e-01
4,2,3.005263157895e+00,1.087073646521e+00
4,2,3.368421052632e+00,1.451398982517e+00
4,2,3.731578947368e+00,1.789682581587e+00
4,2,4.094736842105e+00,2.049334777012e+00
4,2,4.457894736842e+00,2.182853596530e+00
4,2,4.821052631579e+00,2.158351315934e+00
4,2,5.184210526316e+00,1.967869405157e+00
4,2,5.547368421053e+00,1.631171800325e+00
4,2,5.910526315789e+00,1.193635409429e+00
4,2,6.273684210526e+00,7.182750039961e-01
4,2,6.636842105263e+00,2.734772197788e-01
4,2,7.000000000000e+00,-8.076745137141e-02
5,2,1.000000000000e-01,7.336037699951e-03
5,2,4.631578947368e-01,1.554704943834e-01
5,2,8.263157894737e-01,4.807369106908e-01
5,2,1.189473684211e+00,9.490792937043e-01
5,2,1.552631578947e+00,1.505070467032e+00
5,2,1.915789473684e+00,2.072941502380e+00
5,2,2.278947368421e+00,2.562984274769e+00
5,2,2.642105263158e+00,2.884400548953e+00
5,2,3.005263157895e+00,2.963048568190e+00
5,2,3.368421052632e+00,2.759964959610e+00
5,2,3.731578947368e+00,2.285094913591e+00
5,2,4.094736842105e+00,1.601076016520e+00
5,2,4.457894736842e+00,8.142686937572e-01
5,2,4.821052631579e+00,5.386862964260e-02
5,2,5.184210526316e+00,-5.562872822051e-01
5,2,5.547368421053e+00,-9.259863431488e-01
5,2,5.910526315789e+00,-1.019229198780e+00
5,2,6.273684210526e+00,-8.612755550125e-01
5,2,6.636842105263e+00,-5.300401450781e-01
5,2,7.000000000000e+00,-1.342243490827e-01
