element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
Fe,0,0,2.000000000000e+00,3.779452249252e+00,1.374746330198e+00,5.292054017107e-01
Fe,0,0,3.000000000000e+00,5.669178373877e+00,1.662326904770e+00,6.399088748880e-01
Fe,0,0,4.000000000000e+00,7.558904498503e+00,1.793739124346e+00,6.904957031068e-01
Fe,0,0,5.000000000000e+00,9.448630623129e+00,1.660146256547e+00,6.390694394276e-01
Fe,0,0,6.000000000000e+00,1.133835674775e+01,1.274060997377e+00,4.904468170675e-01
Fe,0,0,7.000000000000e+00,1.322808287238e+01,7.648622416268e-01,2.944319406004e-01
Fe,1,0,0.000000000000e+00,0.000000000000e+00,4.484420953560e+00,1.726267413878e+00
Fe,1,0,1.000000000000e-01,1.889726124626e-01,4.482393643950e+00,1.725487005760e+00
Fe,1,0,5.000000000000e-01,9.448630623129e-01,4.433478880665e+00,1.706657381424e+00
Fe,1,0,1.000000000000e+00,1.889726124626e+00,4.277670143818e+00,1.646679170636e+00
Fe,1,0,2.000000000000e+00,3.779452249252e+00,3.623989572850e+00,1.395046355512e+00
Fe,1,0,3.000000000000e+00,5.669178373877e+00,2.515464464519e+00,9.683221938430e-01
Fe,1,0,4.000000000000e+00,7.558904498503e+00,1.133621142320e+00,4.363848215712e-01
Fe,1,0,5.000000000000e+00,9.448630623129e+00,-1.301101019749e-01,-5.008558107758e-02
Fe,1,0,6.000000000000e+00,1.133835674775e+01,-8.750756345022e-01,-3.368583297963e-01
Fe,1,0,7.000000000000e+00,1.322808287238e+01,-9.572515694955e-01,-3.684917648045e-01
Fe,2,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Fe,2,1,1.000000000000e-01,1.889726124626e-01,-3.078813295311e-02,-1.185182015727e-02
Fe,2,1,5.000000000000e-01,9.448630623129e-01,-1.504402933757e-01,-5.791164096282e-02
Fe,2,1,1.000000000000e+00,1.889726124626e+00,-2.794187471769e-01,-1.075615967085e-01
Fe,2,1,2.000000000000e+00,3.779452249252e+00,-3.995167320597e-01,-1.537930366029e-01
Fe,2,1,3.000000000000e+00,5.669178373877e+00,-2.639918695573e-01,-1.016230560567e-01
Fe,2,1,4.000000000000e+00,7.558904498503e+00,1.143524459622e-01,4.401970805284e-02
Fe,2,1,5.000000000000e+00,9.448630623129e+00,6.074178757941e-01,2.338240982390e-01
Fe,2,1,6.000000000000e+00,1.133835674775e+01,1.021926067294e+00,3.933880622786e-01
Fe,2,1,7.000000000000e+00,1.322808287238e+01,1.192246267171e+00,4.589524270018e-01
Fe,3,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Fe,3,1,1.000000000000e-01,1.889726124626e-01,1.451886207949e-01,5.589002181990e-02
Fe,3,1,5.000000000000e-01,9.448630623129e-01,7.166079664487e-01,2.758565696255e-01
Fe,3,1,1.000000000000e+00,1.889726124626e+00,1.376114243649e+00,5.297319768117e-01
Fe,3,1,2.000000000000e+00,3.779452249252e+00,2.331336937147e+00,8.974427305207e-01
Fe,3,1,3.000000000000e+00,5.669178373877e+00,2.617256836424e+00,1.007506930606e+00
Fe,3,1,4.000000000000e+00,7.558904498503e+00,2.248734511914e+00,8.656451190869e-01
Fe,3,1,5.000000000000e+00,9.448630623129e+00,1.472271660751e+00,5.667475508319e-01
Fe,3,1,6.000000000000e+00,1.133835674775e+01,6.333475477582e-01,2.438056651409e-01
Fe,3,1,7.000000000000e+00,1.322808287238e+01,1.521449484927e-02,5.856784398452e-03
Fe,4,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Fe,4,2,1.000000000000e-01,1.889726124626e-01,-8.735257310269e-04,-3.362616980590e-04
Fe,4,2,5.000000000000e-01,9.448630623129e-01,-2.100452635178e-02,-8.085643555883e-03
Fe,4,2,1.000000000000e+00,1.889726124626e+00,-7.394303218469e-02,-2.846419822439e-02
Fe,4,2,2.000000000000e+00,3.779452249252e+00,-1.545267135508e-01,-5.948469890291e-02
Fe,4,2,3.000000000000e+00,5.669178373877e+00,3.972648741175e-02,1.529261891266e-02
Fe,4,2,4.000000000000e+00,7.558904498503e+00,6.141295969913e-01,2.364077597002e-01
Fe,4,2,5.000000000000e+00,9.448630623129e+00,1.296174153237e+00,4.989592249736e-01
Fe,4,2,6.000000000000e+00,1.133835674775e+01,1.603961049745e+00,6.174410747736e-01
Fe,4,2,7.000000000000e+00,1.322808287238e+01,1.287051602493e+00,4.954475202865e-01
Fe,5,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Fe,5,2,1.000000000000e-01,1.889726124626e-01,2.468317475566e-03,9.501730701244e-04
Fe,5,2,5.000000000000e-01,9.448630623129e-01,6.180318022365e-02,2.379099045316e-02
Fe,5,2,1.000000000000e+00,1.889726124626e+00,2.476066417503e-01,9.531560072967e-02
Fe,5,2,2.000000000000e+00,3.779452249252e+00,9.567234604577e-01,3.682884704589e-01
Fe,5,2,3.000000000000e+00,5.669178373877e+00,1.823380760427e+00,7.019061819605e-01
Fe,5,2,4.000000000000e+00,7.558904498503e+00,2.169300770163e+00,8.350672849878e-01
Fe,5,2,5.000000000000e+00,9.448630623129e+00,1.506474120453e+00,5.799137081284e-01
Fe,5,2,6.000000000000e+00,1.133835674775e+01,2.030727635902e-01,7.817238793195e-02
Fe,5,2,7.000000000000e+00,1.322808287238e+01,-7.627134735556e-01,-2.936047773301e-01
Cu,0,0,0.000000000000e+00,0.000000000000e+00,-6.484727558546e-01,-2.496280788115e-01
Cu,0,0,1.000000000000e-01,1.889726124626e-01,-6.456811368910e-01,-2.485534515857e-01
Cu,0,0,5.000000000000e-01,9.448630623129e-01,-5.793799942969e-01,-2.230309809817e-01
Cu,0,0,1.000000000000e+00,1.889726124626e+00,-3.806574482032e-01,-1.465331991550e-01
Cu,0,0,2.000000000000e+00,3.779452249252e+00,2.954786284714e-01,1.137438106524e-01
Cu,0,0,3.000000000000e+00,5.669178373877e+00,1.067177146810e+00,4.108073600696e-01
Cu,0,0,4.000000000000e+00,7.558904498503e+00,1.601553406439e+00,6.165142580842e-01
Cu,0,0,5.000000000000e+00,9.448630623129e+00,1.708660415375e+00,6.577448520089e-01
Cu,0,0,6.000000000000e+00,1.133835674775e+01,1.411974866102e+00,5.435364400016e-01
Cu,0,0,7.000000000000e+00,1.322808287238e+01,8.992769258871e-01,3.461745606149e-01
Cu,1,0,0.000000000000e+00,0.000000000000e+00,8.821776156320e+00,3.395922209107e+00
Cu,1,0,1.000000000000e-01,1.889726124626e-01,8.811090633570e+00,3.391808841982e+00
Cu,1,0,5.000000000000e-01,9.448630623129e-01,8.557496273757e+00,3.294188283114e+00
Cu,1,0,1.000000000000e+00,1.889726124626e+00,7.799555534429e+00,3.002420758722e+00
Cu,1,0,2.000000000000e+00,3.779452249252e+00,5.243926773899e+00,2.018637412564e+00
