system,i1,i2,i3,rho_e_per_ang3
al_fcc,15,19,12,1.7010384230e-01
al_fcc,15,22,9,2.0732008895e-01
al_fcc,16,1,6,2.3428568895e-01
al_fcc,16,4,3,2.3158353225e-01
al_fcc,16,7,0,2.3334348873e-01
al_fcc,16,9,21,2.1247313219e-01
al_fcc,16,12,18,1.6952568175e-01
al_fcc,16,15,15,1.5048014598e-01
al_fcc,16,18,12,1.6952568175e-01
al_fcc,16,21,9,2.1247313219e-01
al_fcc,17,0,6,2.3006298823e-01
al_fcc,17,3,3,2.1521958566e-01
al_fcc,17,6,0,2.3006298823e-01
al_fcc,17,8,21,2.2809375485e-01
al_fcc,17,11,18,1.8345248155e-01
al_fcc,17,14,15,1.5389052732e-01
al_fcc,17,17,12,1.6934291388e-01
al_fcc,17,20,9,2.1580052919e-01
al_fcc,17,23,6,2.3145129417e-01
al_fcc,18,2,3,1.8689461331e-01
al_fcc,18,5,0,2.0745696954e-01
al_fcc,18,7,21,2.3277492043e-01
al_fcc,18,10,18,2.0046095195e-01
al_fcc,18,13,15,1.6055616661e-01
al_fcc,18,16,12,1.6952568175e-01
al_fcc,18,19,9,2.1739473399e-01
al_fcc,18,22,6,2.2587638008e-01
al_fcc,19,1,3,1.5458751942e-01
al_fcc,19,4,0,1.6941635552e-01
al_fcc,19,6,21,2.2082540654e-01
al_fcc,19,9,18,2.1739473399e-01
al_fcc,19,12,15,1.7010384230e-01
al_fcc,19,15,12,1.7010384230e-01
al_fcc,19,18,9,2.1739473399e-01
al_fcc,19,21,6,2.2082540654e-01
al_fcc,20,0,3,1.2711498140e-01
al_fcc,20,3,0,1.2711498140e-01
al_fcc,20,5,21,1.9403672339e-01
al_fcc,20,8,18,2.2973855550e-01
al_fcc,20,11,15,1.8184736959e-01
al_fcc,20,14,12,1.7115573877e-01
al_fcc,20,17,9,2.1580052919e-01
al_fcc,20,20,6,2.1883214282e-01
al_fcc,20,23,3,1.3836355459e-01
al_fcc,21,2,0,9.0783494335e-02
al_fcc,21,4,21,1.5942228345e-01
al_fcc,21,7,18,2.3277492043e-01
al_fcc,21,10,15,1.9471902424e-01
al_fcc,21,13,12,1.7277008357e-01
al_fcc,21,16,9,2.1247313219e-01
al_fcc,21,19,6,2.2082540654e-01
al_fcc,21,22,3,1.2700841922e-01
al_fcc,22,1,0,6.4719699028e-02
al_fcc,22,3,21,1.2700841922e-01
al_fcc,22,6,18,2.2587638008e-01
al_fcc,22,9,15,2.0732008895e-01
al_fcc,22,12,12,1.7499344851e-01
al_fcc,22,15,9,2.0732008895e-01
al_fcc,22,18,6,2.2587638008e-01
al_fcc,22,21,3,1.2700841922e-01
al_fcc,23,0,0,5.1079142110e-02
al_fcc,23,2,21,1.0323363397e-01
al_fcc,23,5,18,2.1259985667e-01
al_fcc,23,8,15,2.1816249106e-01
al_fcc,23,11,12,1.7777464844e-01
al_fcc,23,14,9,2.0050932720e-01
al_fcc,23,17,6,2.3145129417e-01
al_fcc,23,20,3,1.3836355459e-01
al_fcc,23,23,0,6.4706779647e-02
fe_bcc,0,0,0,5.4291119727e+00
fe_bcc,0,2,21,1.3749846991e+01
fe_bcc,0,5,18,5.2825600225e-01
fe_bcc,0,8,15,2.3460619447e-01
fe_bcc,0,11,12,2.3278756108e-01
fe_bcc,0,14,9,2.2875544836e-01
fe_bcc,0,17,6,3.2869854820e-01
fe_bcc,0,20,3,4.1411094529e+00
fe_bcc,0,23,0,1.0004426864e+01
fe_bcc,1,1,21,1.6288941499e+01
fe_bcc,1,4,18,6.9009180789e-01
fe_bcc,1,7,15,2.4852005457e-01
fe_bcc,1,10,12,2.4888421868e-01
fe_bcc,1,13,9,2.4311474047e-01
fe_bcc,1,16,6,2.8395281356e-01
fe_bcc,1,19,3,1.7768347414e+00
fe_bcc,1,22,0,2.0583301849e+01
fe_bcc,2,0,21,1.3749846991e+01
fe_bcc,2,3,18,8.1189086989e-01
fe_bcc,2,6,15,2.6560651980e-01
fe_bcc,2,9,12,2.8017817079e-01
fe_bcc,2,12,9,2.8017817079e-01
fe_bcc,2,15,6,2.6560651980e-01
fe_bcc,2,18,3,8.1189086989e-01
fe_bcc,2,21,0,1.3749846991e+01
fe_bcc,2,23,21,1.3440566420e+01
fe_bcc,3,2,18,8.1189086989e-01
fe_bcc,3,5,15,2.7951749632e-01
fe_bcc,3,8,12,3.2303238407e-01
fe_bcc,3,11,9,3.5123699005e-01
fe_bcc,3,14,6,2.7461150260e-01
fe_bcc,3,17,3,4.5703853746e-01
fe_bcc,3,20,0,4.1411094529e+00
fe_bcc,3,22,21,6.0193271049e+00
fe_bcc,4,1,18,6.9009180789e-01
fe_bcc,4,4,15,2.8489270843e-01
fe_bcc,4,7,12,3.6761398738e-01
fe_bcc,4,10,9,4.7061186797e-01
fe_bcc,4,13,6,3.1525205852e-01
fe_bcc,4,16,3,3.2510014363e-01
fe_bcc,4,19,0,1.2071099184e+00
fe_bcc,4,21,21,2.0217151931e+00
fe_bcc,5,0,18,5.2825600225e-01
fe_bcc,5,3,15,2.7951749632e-01
fe_bcc,5,6,12,3.9724331626e-01
fe_bcc,5,9,9,6.3987203441e-01
fe_bcc,5,12,6,3.9724331626e-01
fe_bcc,5,15,3,2.7951749632e-01
fe_bcc,5,18,0,5.2825600225e-01
fe_bcc,5,20,21,8.0128827514e-01
fe_bcc,5,23,18,5.2399983362e-01
fe_bcc,6,2,15,2.6560651980e-01
fe_bcc,6,5,12,3.9724331626e-01
fe_bcc,6,8,9,8.1204736280e-01
fe_bcc,6,11,6,5.2823347099e-01
fe_bcc,6,14,3,2.7461150260e-01
fe_bcc,6,17,0,3.2869854820e-01
fe_bcc,6,19,21,4.3032049902e-01
fe_bcc,6,22,18,3.8117680386e-01
fe_bcc,7,1,15,2.4852005457e-01
fe_bcc,7,4,12,3.6761398738e-01
fe_bcc,7,7,9,8.8874982766e-01
fe_bcc,7,10,6,6.9004184565e-01
fe_bcc,7,13,3,2.9292576634e-01
fe_bcc,7,16,0,2.5926120634e-01
fe_bcc,7,18,21,3.0259645405e-01
fe_bcc,7,21,18,3.0259645405e-01
fe_bcc,8,0,15,2.3460619447e-01
fe_bcc,8,3,12,3.2303238407e-01
fe_bcc,8,6,9,8.1204736280e-01
fe_bcc,8,9,6,8.1204736280e-01
fe_bcc,8,12,3,3.2303238407e-01
fe_bcc,8,15,0,2.3460619447e-01
fe_bcc,8,17,21,2.5643393143e-01
fe_bcc,8,20,18,2.6816756376e-01
fe_bcc,8,23,15,2.3305304243e-01
fe_bcc,9,2,12,2.8017817079e-01
fe_bcc,9,5,9,6.3987203441e-01
fe_bcc,9,8,6,8.1204736280e-01
fe_bcc,9,11,3,3.5123699005e-01
fe_bcc,9,14,0,2.2875544836e-01
fe_bcc,9,16,21,2.4378982538e-01
fe_bcc,9,19,18,2.6448344680e-01
fe_bcc,9,22,15,2.3195342273e-01
fe_bcc,10,1,12,2.4888421868e-01
fe_bcc,10,4,9,4.7061186797e-01
fe_bcc,10,7,6,6.9004184565e-01
fe_bcc,10,10,3,3.6289275820e-01
fe_bcc,10,13,0,2.3033170237e-01
fe_bcc,10,15,21,2.4676338724e-01
fe_bcc,10,18,18,2.8541890109e-01
fe_bcc,10,21,15,2.4676338724e-01
fe_bcc,11,0,12,2.3278756108e-01
fe_bcc,11,3,9,3.5123699005e-01
fe_bcc,11,6,6,5.2823347099e-01
fe_bcc,11,9,3,3.5123699005e-01
fe_bcc,11,12,0,2.3278756108e-01
fe_bcc,11,14,21,2.5521483835e-01
fe_bcc,11,17,18,3.2690626737e-01
fe_bcc,11,20,15,2.8211774160e-01
fe_bcc,11,23,12,2.3023600332e-01
fe_bcc,12,2,9,2.8017817079e-01
fe_bcc,12,5,6,3.9724331626e-01
fe_bcc,12,8,3,3.2303238407e-01
fe_bcc,12,11,0,2.3278756108e-01
fe_bcc,12,13,21,2.6167293668e-01
fe_bcc,12,16,18,3.8114352563e-01
fe_bcc,12,19,15,3.4294563575e-01
fe_bcc,12,22,12,2.3819614496e-01
fe_bcc,13,1,9,2.4311474047e-01
